dataset,x,y
wide_lines,68.6755160534,50.465234811
wide_lines,69.0817099788,55.4740530987
wide_lines,69.048716493,66.3660457477
wide_lines,67.3082233775,71.5902965807
wide_lines,38.714899408,76.3969778172
wide_lines,35.5480948795,89.3049758407
wide_lines,36.7106729424,86.0749670003
wide_lines,64.9126624396,87.6457960566
wide_lines,66.0641357377,89.2086685815
wide_lines,64.9359294757,87.0721381174
wide_lines,67.0265507063,76.2225153324
wide_lines,65.3140322257,77.9387440331
wide_lines,64.2952177764,84.1258572133
wide_lines,38.7980121423,74.6106304299
wide_lines,34.6757573144,79.6375987743
wide_lines,30.7192619427,58.812060082
wide_lines,34.1051509268,64.1291972267
wide_lines,33.4233718511,67.0957433613
wide_lines,66.3138096741,98.9310270371
wide_lines,65.3096314498,98.1651568396
wide_lines,65.7140760682,99.2837639519
wide_lines,67.5934531877,90.9519098246
wide_lines,66.3880173202,89.2812304744
wide_lines,67.8061881135,91.6881773501
wide_lines,70.9626103129,86.5181213517
wide_lines,71.9936371714,78.8209480695
wide_lines,72.4798343312,80.8006830564
wide_lines,74.0784292286,72.9515308522
wide_lines,72.0362880189,69.7160484161
wide_lines,72.9981862717,59.6656447092
wide_lines,74.8121312339,57.5898837631
wide_lines,73.0273050243,46.2741878725
wide_lines,77.067111934,51.4869181896
wide_lines,75.0171368727,46.6224426489
wide_lines,76.6653077326,38.440250966
wide_lines,77.9158742329,45.9268433826
wide_lines,73.7420460836,39.1209853231
wide_lines,75.3298157891,32.8303519164
wide_lines,63.4104355141,38.377735614
wide_lines,68.856486669,43.084147214
wide_lines,66.3377850519,33.3065100022
wide_lines,64.2037185014,26.6441143003
wide_lines,64.4986348346,22.863501327
wide_lines,68.8909906096,27.2962056672
wide_lines,72.371523338,21.9616397473
wide_lines,69.7654249704,19.999850454
wide_lines,68.6213124429,18.9156764428
wide_lines,64.2977371716,20.4287496884
wide_lines,66.6992650902,18.5910853404
wide_lines,67.5445276811,16.4479381344
wide_lines,63.9469519836,18.6928454476
wide_lines,64.3881920705,15.7728122808
wide_lines,65.570045691,23.7657582226
wide_lines,38.4028368753,19.0468586722
wide_lines,37.8323600164,14.4694894463
wide_lines,36.9041611715,13.5838157511
wide_lines,36.286143052,17.1057707266
wide_lines,62.7866325947,13.9189931024
wide_lines,66.8176792234,11.4124971575
wide_lines,66.755021412,18.0853051378
wide_lines,65.4155283864,10.4635122068
wide_lines,36.9463314417,13.5143774996
wide_lines,37.8254347391,9.60103429534
wide_lines,36.722837943,9.33330210686
wide_lines,67.0733217806,6.04921458162
wide_lines,64.601818107,12.0019169643
wide_lines,65.4372821806,15.5453860785
wide_lines,67.0040223792,15.3458266393
wide_lines,66.7241920702,5.24980548075
wide_lines,68.3076187632,13.2809165227
wide_lines,68.7680482759,13.5214565521
wide_lines,74.1672717461,5.34988087254
wide_lines,64.9003579699,16.2452583689
wide_lines,68.7634335463,8.70057294385
wide_lines,66.8169139163,12.2732943361
wide_lines,67.3093466467,0.217006270014
wide_lines,34.7318293093,19.6017950724
wide_lines,33.6744421497,26.09049021
wide_lines,75.6272550236,37.128751949
wide_lines,40.6101254225,89.1362398699
wide_lines,39.1143664549,96.4817513202
wide_lines,34.5838289299,89.5889019877
